EntryID_S1,SessionID,Session_Order,ProjectID,Project,Is_Sequel,Archetype,Production_Date,Language,Vendor,Number_of_Actors,LS_Words_Total,SS_Words_Total,HTR_Words_Total,STR_Words_Total,NoTR_Words_Total,Estimated_Hours,Currency,Standard_Rate_per_Hour,Cost_Forecast_S1,Cost_Actuals_S1,Exchange_Rate,Billing_Forecast_S1,Billing_Actuals_S1
S1E00066,S01_GoldenChain_English,1,P016,GoldenChain,False,indie,2022-11-11,English,MediaBooth,30,4803,3202,4162,5763,14091,92,EUR,448.8,45418.56,50556.19,1.05,52458.44,58392.4
S1E00064,S01_GoldenChain_French,1,P016,GoldenChain,False,indie,2022-11-11,French,MediaBooth,30,4803,3202,4162,5763,14091,94,EUR,428.4,44296.56,42593.04,1.05,51162.53,49194.96
S1E00063,S01_GoldenChain_German,1,P016,GoldenChain,False,indie,2022-11-11,German,MediaBooth,30,4803,3202,4162,5763,14091,88,EUR,408.0,39494.4,32479.52,1.05,45616.03,37513.85
S1E00065,S01_GoldenChain_Spanish,1,P016,GoldenChain,False,indie,2022-11-11,Spanish,MediaBooth,30,4803,3202,4162,5763,14091,90,EUR,346.8,34333.2,36126.67,1.05,39654.85,41726.3
S1E00072,S02_GoldenChain_BrazilianPortuguese,2,P016,GoldenChain,False,indie,2022-11-19,Brazilian Portuguese,SoundHouse,27,0,0,1586,4759,25382,46,EUR,252.2,12761.32,12372.05,1.05,14739.32,14289.72
S1E00071,S02_GoldenChain_English,2,P016,GoldenChain,False,indie,2022-11-19,English,MediaBooth,27,0,0,1586,4759,25382,58,EUR,448.8,28633.44,23056.2,1.05,33071.62,26629.91
S1E00069,S02_GoldenChain_French,2,P016,GoldenChain,False,indie,2022-11-19,French,MediaBooth,27,0,0,1586,4759,25382,59,EUR,428.4,27803.16,23579.34,1.05,32112.65,27234.14
S1E00068,S02_GoldenChain_German,2,P016,GoldenChain,False,indie,2022-11-19,German,MediaBooth,27,0,0,1586,4759,25382,58,EUR,408.0,26030.4,25277.24,1.05,30065.11,29195.21
S1E00070,S02_GoldenChain_Spanish,2,P016,GoldenChain,False,indie,2022-11-19,Spanish,MediaBooth,27,0,0,1586,4759,25382,58,EUR,346.8,22125.84,20692.0,1.05,25555.35,23899.26
S1E00077,S03_GoldenChain_BrazilianPortuguese,3,P016,GoldenChain,False,indie,2023-07-28,Brazilian Portuguese,SoundHouse,25,1371,1199,2056,3085,9428,41,EUR,252.2,11374.22,11946.38,1.09,13637.69,14323.71
S1E00076,S03_GoldenChain_English,3,P016,GoldenChain,False,indie,2023-07-28,English,MediaBooth,25,1371,1199,2056,3085,9428,53,EUR,448.8,26165.04,30832.72,1.09,31371.88,36968.43
S1E00074,S03_GoldenChain_French,3,P016,GoldenChain,False,indie,2023-07-28,French,MediaBooth,25,1371,1199,2056,3085,9428,52,EUR,428.4,24504.48,22445.85,1.09,29380.87,26912.57
S1E00073,S03_GoldenChain_German,3,P016,GoldenChain,False,indie,2023-07-28,German,MediaBooth,25,1371,1199,2056,3085,9428,54,EUR,408.0,24235.2,20879.25,1.09,29058.0,25034.22
S1E00075,S03_GoldenChain_Spanish,3,P016,GoldenChain,False,indie,2023-07-28,Spanish,MediaBooth,25,1371,1199,2056,3085,9428,55,EUR,346.8,20981.4,18398.38,1.09,25156.7,22059.66
S1E00082,S04_GoldenChain_BrazilianPortuguese,4,P016,GoldenChain,False,indie,2023-11-04,Brazilian Portuguese,SoundHouse,13,7795,1417,1700,1417,1845,57,EUR,252.2,15812.94,13516.31,1.09,18959.72,16206.06
S1E00081,S04_GoldenChain_English,4,P016,GoldenChain,False,indie,2023-11-04,English,MediaBooth,13,7795,1417,1700,1417,1845,66,EUR,448.8,32582.88,32517.87,1.09,39066.87,38988.93
S1E00079,S04_GoldenChain_French,4,P016,GoldenChain,False,indie,2023-11-04,French,MediaBooth,13,7795,1417,1700,1417,1845,64,EUR,428.4,30159.36,29088.82,1.09,36161.07,34877.5
S1E00078,S04_GoldenChain_German,4,P016,GoldenChain,False,indie,2023-11-04,German,MediaBooth,13,7795,1417,1700,1417,1845,62,EUR,408.0,27825.6,19190.8,1.09,33362.89,23009.77
S1E00080,S04_GoldenChain_Spanish,4,P016,GoldenChain,False,indie,2023-11-04,Spanish,MediaBooth,13,7795,1417,1700,1417,1845,63,EUR,346.8,24033.24,27306.04,1.09,28815.85,32739.94
S1E00086,S01_BurningTideII_English,1,P017,BurningTide II,True,indie,2026-01-04,English,GridMark,26,15813,2875,3450,2875,3738,115,EUR,440.0,55660.0,62776.05,1.18,72246.68,81483.31
S1E00084,S01_BurningTideII_French,1,P017,BurningTide II,True,indie,2026-01-04,French,GridMark,26,15813,2875,3450,2875,3738,118,EUR,420.0,54516.0,47724.62,1.18,70761.77,61946.56
S1E00083,S01_BurningTideII_German,1,P017,BurningTide II,True,indie,2026-01-04,German,GridMark,26,15813,2875,3450,2875,3738,118,EUR,400.0,51920.0,50113.3,1.18,67392.16,65047.06
S1E00085,S01_BurningTideII_Spanish,1,P017,BurningTide II,True,indie,2026-01-04,Spanish,GridMark,26,15813,2875,3450,2875,3738,116,EUR,340.0,43384.0,62361.98,1.18,56312.43,80945.85
S1E00090,S02_BurningTideII_English,2,P017,BurningTide II,True,indie,2026-04-19,English,GridMark,18,0,566,1510,3397,13404,31,EUR,440.0,15004.0,,1.18,19475.19,
S1E00088,S02_BurningTideII_French,2,P017,BurningTide II,True,indie,2026-04-19,French,GridMark,18,0,566,1510,3397,13404,33,EUR,420.0,15246.0,,1.18,19789.31,
S1E00087,S02_BurningTideII_German,2,P017,BurningTide II,True,indie,2026-04-19,German,GridMark,18,0,566,1510,3397,13404,29,EUR,400.0,12760.0,,1.18,16562.48,
S1E00089,S02_BurningTideII_Spanish,2,P017,BurningTide II,True,indie,2026-04-19,Spanish,GridMark,18,0,566,1510,3397,13404,31,EUR,340.0,11594.0,,1.18,15049.01,
S1E00094,S03_BurningTideII_English,3,P017,BurningTide II,True,indie,2026-06-23,English,GridMark,19,0,0,250,750,4000,19,EUR,440.0,9196.0,,1.18,11936.41,
S1E00092,S03_BurningTideII_French,3,P017,BurningTide II,True,indie,2026-06-23,French,GridMark,19,0,0,250,750,4000,19,EUR,420.0,8778.0,,1.18,11393.84,
S1E00091,S03_BurningTideII_German,3,P017,BurningTide II,True,indie,2026-06-23,German,GridMark,19,0,0,250,750,4000,19,EUR,400.0,8360.0,,1.18,10851.28,
S1E00093,S03_BurningTideII_Spanish,3,P017,BurningTide II,True,indie,2026-06-23,Spanish,GridMark,19,0,0,250,750,4000,19,EUR,340.0,7106.0,,1.18,9223.59,
S1E00098,S01_BlazingPact_English,1,P018,BlazingPact,False,indie,2023-11-28,English,EuroVox,24,4014,3512,6021,9031,27599,102,EUR,431.2,48380.64,51804.21,1.09,58008.39,62113.25
S1E00096,S01_BlazingPact_French,1,P018,BlazingPact,False,indie,2023-11-28,French,EuroVox,24,4014,3512,6021,9031,27599,102,EUR,411.6,46181.52,36574.11,1.09,55371.64,43852.36
S1E00095,S01_BlazingPact_German,1,P018,BlazingPact,False,indie,2023-11-28,German,EuroVox,24,4014,3512,6021,9031,27599,102,EUR,392.0,43982.4,43913.1,1.09,52734.9,52651.81
S1E00097,S01_BlazingPact_Spanish,1,P018,BlazingPact,False,indie,2023-11-28,Spanish,EuroVox,24,4014,3512,6021,9031,27599,102,EUR,333.2,37385.04,36614.5,1.09,44824.66,43900.79
S1E00102,S02_BlazingPact_English,2,P018,BlazingPact,False,indie,2024-02-12,English,EuroVox,27,0,1101,2937,6609,26074,59,EUR,431.2,27984.88,30269.72,1.12,34477.37,37292.3
S1E00100,S02_BlazingPact_French,2,P018,BlazingPact,False,indie,2024-02-12,French,EuroVox,27,0,1101,2937,6609,26074,59,EUR,411.6,26712.84,26020.53,1.12,32910.22,32057.29
S1E00099,S02_BlazingPact_German,2,P018,BlazingPact,False,indie,2024-02-12,German,EuroVox,27,0,1101,2937,6609,26074,57,EUR,392.0,24578.4,21497.21,1.12,30280.59,26484.56
S1E00101,S02_BlazingPact_Spanish,2,P018,BlazingPact,False,indie,2024-02-12,Spanish,EuroVox,27,0,1101,2937,6609,26074,58,EUR,333.2,21258.16,24199.8,1.12,26190.05,29814.15
S1E00107,S01_DarkMarch_BrazilianPortuguese,1,P019,DarkMarch,False,indie,2021-12-06,Brazilian Portuguese,LatinaVox,29,0,2008,5354,12048,47524,98,EUR,260.0,28028.0,25677.31,1.18,36380.34,33329.15
S1E00106,S01_DarkMarch_English,1,P019,DarkMarch,False,indie,2021-12-06,English,MediaBooth,29,0,2008,5354,12048,47524,104,EUR,448.8,51342.72,48985.05,1.18,66642.85,63582.59
S1E00104,S01_DarkMarch_French,1,P019,DarkMarch,False,indie,2021-12-06,French,MediaBooth,29,0,2008,5354,12048,47524,103,EUR,428.4,48537.72,53892.83,1.18,63001.96,69952.89
S1E00103,S01_DarkMarch_German,1,P019,DarkMarch,False,indie,2021-12-06,German,MediaBooth,29,0,2008,5354,12048,47524,105,EUR,408.0,47124.0,46125.63,1.18,61166.95,59871.07
S1E00105,S01_DarkMarch_Spanish,1,P019,DarkMarch,False,indie,2021-12-06,Spanish,MediaBooth,29,0,2008,5354,12048,47524,102,EUR,346.8,38910.96,45944.14,1.18,50506.43,59635.49
S1E00112,S02_DarkMarch_BrazilianPortuguese,2,P019,DarkMarch,False,indie,2022-02-28,Brazilian Portuguese,LatinaVox,24,0,642,1713,3854,15206,35,EUR,260.0,10010.0,13030.73,1.05,11561.55,15050.49
S1E00111,S02_DarkMarch_English,2,P019,DarkMarch,False,indie,2022-02-28,English,MediaBooth,24,0,642,1713,3854,15206,50,EUR,448.8,24684.0,33512.25,1.05,28510.02,38706.65
S1E00109,S02_DarkMarch_French,2,P019,DarkMarch,False,indie,2022-02-28,French,MediaBooth,24,0,642,1713,3854,15206,52,EUR,428.4,24504.48,24220.11,1.05,28302.67,27974.23
S1E00108,S02_DarkMarch_German,2,P019,DarkMarch,False,indie,2022-02-28,German,MediaBooth,24,0,642,1713,3854,15206,50,EUR,408.0,22440.0,24165.65,1.05,25918.2,27911.33
S1E00110,S02_DarkMarch_Spanish,2,P019,DarkMarch,False,indie,2022-02-28,Spanish,MediaBooth,24,0,642,1713,3854,15206,51,EUR,346.8,19455.48,22273.29,1.05,22471.08,25725.65
S1E00116,S01_EmberMark_BrazilianPortuguese,1,P020,EmberMark,False,indie,2022-05-27,Brazilian Portuguese,SoundHouse,24,33218,6039,7247,6039,7855,235,EUR,252.2,65193.7,73504.87,1.05,75298.72,84898.12
S1E00117,S01_EmberMark_English,1,P020,EmberMark,False,indie,2022-05-27,English,EuroVox,24,33218,6039,7247,6039,7855,236,EUR,431.2,111939.52,104416.71,1.05,129290.15,120601.3
S1E00114,S01_EmberMark_French,1,P020,EmberMark,False,indie,2022-05-27,French,EuroVox,24,33218,6039,7247,6039,7855,233,EUR,411.6,105493.08,111779.34,1.05,121844.51,129105.14
S1E00113,S01_EmberMark_German,1,P020,EmberMark,False,indie,2022-05-27,German,EuroVox,24,33218,6039,7247,6039,7855,232,EUR,392.0,100038.4,130738.01,1.05,115544.35,151002.4
S1E00115,S01_EmberMark_Spanish,1,P020,EmberMark,False,indie,2022-05-27,Spanish,EuroVox,24,33218,6039,7247,6039,7855,234,EUR,333.2,85765.68,112933.2,1.05,99059.36,130437.85
S1E00121,S02_EmberMark_BrazilianPortuguese,2,P020,EmberMark,False,indie,2022-06-03,Brazilian Portuguese,SoundHouse,14,0,755,2014,4531,17877,38,EUR,252.2,10541.96,15447.84,1.05,12175.96,17842.26
S1E00122,S02_EmberMark_English,2,P020,EmberMark,False,indie,2022-06-03,English,EuroVox,14,0,755,2014,4531,17877,38,EUR,431.2,18024.16,23532.11,1.05,20817.9,27179.59
S1E00119,S02_EmberMark_French,2,P020,EmberMark,False,indie,2022-06-03,French,EuroVox,14,0,755,2014,4531,17877,38,EUR,411.6,17204.88,19282.42,1.05,19871.64,22271.2
S1E00118,S02_EmberMark_German,2,P020,EmberMark,False,indie,2022-06-03,German,EuroVox,14,0,755,2014,4531,17877,37,EUR,392.0,15954.4,19836.33,1.05,18427.33,22910.96
S1E00120,S02_EmberMark_Spanish,2,P020,EmberMark,False,indie,2022-06-03,Spanish,EuroVox,14,0,755,2014,4531,17877,40,EUR,333.2,14660.8,19402.53,1.05,16933.22,22409.92
S1E00126,S01_LostRealm_Chinese,1,P021,LostRealm,False,mid,2024-07-03,Chinese,PacificAudio,32,0,1070,2855,6424,25345,75,EUR,302.4,24948.0,25349.91,1.12,30735.94,31231.09
S1E00127,S01_LostRealm_English,1,P021,LostRealm,False,mid,2024-07-03,English,EuroVox,46,0,1070,2855,6424,25345,66,EUR,431.2,31305.12,33316.15,1.12,38567.91,41045.5
S1E00124,S01_LostRealm_French,1,P021,LostRealm,False,mid,2024-07-03,French,EuroVox,47,0,1070,2855,6424,25345,66,EUR,411.6,29882.16,27948.59,1.12,36814.82,34432.66
S1E00123,S01_LostRealm_German,1,P021,LostRealm,False,mid,2024-07-03,German,EuroVox,42,0,1070,2855,6424,25345,59,EUR,392.0,25440.8,27782.03,1.12,31343.07,34227.46
S1E00128,S01_LostRealm_Polish,1,P021,LostRealm,False,mid,2024-07-03,Polish,EuroVox,36,0,1070,2855,6424,25345,57,EUR,196.0,12289.2,14416.03,1.12,15140.29,17760.55
S1E00125,S01_LostRealm_Spanish,1,P021,LostRealm,False,mid,2024-07-03,Spanish,EuroVox,39,0,1070,2855,6424,25345,58,EUR,333.2,21258.16,20318.57,1.12,26190.05,25032.48
S1E00132,S02_LostRealm_Chinese,2,P021,LostRealm,False,mid,2024-08-09,Chinese,PacificAudio,32,0,987,2633,5926,23378,70,EUR,302.4,23284.8,24217.8,1.12,28686.87,29836.33
S1E00133,S02_LostRealm_English,2,P021,LostRealm,False,mid,2024-08-09,English,EuroVox,44,0,987,2633,5926,23378,61,EUR,431.2,28933.52,35419.5,1.12,35646.1,43636.82
S1E00130,S02_LostRealm_French,2,P021,LostRealm,False,mid,2024-08-09,French,EuroVox,44,0,987,2633,5926,23378,56,EUR,411.6,25354.56,23010.43,1.12,31236.82,28348.85
