EntryID,SessionID,Session_Order,ProjectID,Project,Archetype,Production_Date,Language,Vendor,Filecount,Wordcount,Number_of_Actors,Number_of_Characters,Time_Restriction,Scope_Spread,Cost_Forecast,Cost_Actuals,Currency,Exchange_Rate,Billing_Forecast,Billing_Actuals
E0013,S01_CrystalCode_French_NoTR,1,P005,CrystalCode,mobile_tiny,2024-03-04,French,SonicBridge,587,3011,2,4,NoTR,Normal,5889.22,4331.98,EUR,1.12,7255.52,5337.0
E0014,S01_CrystalCode_German_NoTR,1,P005,CrystalCode,mobile_tiny,2024-03-04,German,SonicBridge,587,3011,2,4,NoTR,Normal,5608.78,3759.26,EUR,1.12,6910.02,4631.41
E0015,S01_CrystalCode_Spanish_NoTR,1,P005,CrystalCode,mobile_tiny,2024-03-04,Spanish,LarkFarm,587,3011,2,4,NoTR,Normal,4313.42,3060.53,EUR,1.12,5314.13,3770.57
E0016,S01_StormPeak_French_NoTR,1,P006,StormPeak,mobile_tiny,2025-04-27,French,LarkFarm,496,4201,2,5,NoTR,Low,4502.32,4962.96,EUR,1.21,5992.59,6605.7
E0017,S01_StormPeak_German_NoTR,1,P006,StormPeak,mobile_tiny,2025-04-27,German,GridMark,496,4201,2,5,NoTR,Low,4513.6,5180.22,EUR,1.21,6007.6,6894.87
E0018,S01_StormPeak_Spanish_NoTR,1,P006,StormPeak,mobile_tiny,2025-04-27,Spanish,LarkFarm,496,4201,2,5,NoTR,Low,3644.73,5057.79,EUR,1.21,4851.14,6731.92
E0019,S01_SilentKeep_French_NoTR,1,P007,SilentKeep,mobile_tiny,2022-07-01,French,SonicBridge,414,3171,4,10,NoTR,Normal,4153.56,4258.01,EUR,1.05,4797.36,4918.0
E0020,S01_SilentKeep_German_NoTR,1,P007,SilentKeep,mobile_tiny,2022-07-01,German,SonicBridge,414,3171,4,10,NoTR,Normal,3955.77,4569.45,EUR,1.05,4568.91,5277.71
E0021,S01_SilentKeep_Spanish_NoTR,1,P007,SilentKeep,mobile_tiny,2022-07-01,Spanish,GridMark,414,3171,4,10,NoTR,Normal,3202.29,3522.36,EUR,1.05,3698.64,4068.33
E0022,S01_SilverDust_French_NoTR,1,P008,SilverDust,mobile_tiny,2025-05-06,French,SonicBridge,367,2997,5,10,NoTR,Normal,3682.02,4647.84,EUR,1.21,4900.77,6186.28
E0023,S01_SilverDust_German_NoTR,1,P008,SilverDust,mobile_tiny,2025-05-06,German,SonicBridge,367,2997,5,10,NoTR,Normal,3506.68,3917.59,EUR,1.21,4667.39,5214.31
E0024,S01_SilverDust_Spanish_NoTR,1,P008,SilverDust,mobile_tiny,2025-05-06,Spanish,SonicBridge,367,2997,5,10,NoTR,Normal,2980.68,3479.84,EUR,1.21,3967.29,4631.67
E0025,S01_EternalHunter_French_NoTR,1,P009,EternalHunter,mobile_tiny,2021-01-17,French,SonicBridge,523,3955,5,9,NoTR,Normal,5247.13,6902.6,EUR,1.18,6810.77,8959.57
E0026,S01_EternalHunter_German_NoTR,1,P009,EternalHunter,mobile_tiny,2021-01-17,German,GridMark,523,3955,5,9,NoTR,Normal,4759.3,5144.86,EUR,1.18,6177.57,6678.03
E0027,S01_EternalHunter_Spanish_NoTR,1,P009,EternalHunter,mobile_tiny,2021-01-17,Spanish,SonicBridge,523,3955,5,9,NoTR,Normal,4247.68,4813.03,EUR,1.18,5513.49,6247.31
E0028,S01_GildedCrown_French_NoTR,1,P010,GildedCrown,mobile_tiny,2025-08-23,French,SonicBridge,346,2219,4,6,NoTR,Normal,3471.33,3028.67,EUR,1.21,4620.34,4031.16
E0029,S01_GildedCrown_German_NoTR,1,P010,GildedCrown,mobile_tiny,2025-08-23,German,SonicBridge,346,2219,4,6,NoTR,Normal,3306.03,3396.7,EUR,1.21,4400.33,4521.01
E0030,S01_GildedCrown_Spanish_NoTR,1,P010,GildedCrown,mobile_tiny,2025-08-23,Spanish,SonicBridge,346,2219,4,6,NoTR,Normal,2810.13,2748.87,EUR,1.21,3740.28,3658.75
E0031,S01_ScarletCrown_French_NoTR,1,P011,ScarletCrown,mobile_small,2022-04-23,French,GridMark,1366,6912,12,26,NoTR,High,13052.13,10543.11,EUR,1.05,15075.21,12177.29
E0032,S01_ScarletCrown_German_NoTR,1,P011,ScarletCrown,mobile_small,2022-04-23,German,GridMark,1366,6912,12,26,NoTR,High,12430.6,8887.79,EUR,1.05,14357.34,10265.4
E0033,S01_ScarletCrown_Spanish_NoTR,1,P011,ScarletCrown,mobile_small,2022-04-23,Spanish,SonicBridge,1366,6912,12,26,NoTR,High,11094.31,9358.47,EUR,1.05,12813.93,10809.03
E0034,S01_StormOath_French_NoTR,1,P012,StormOath,mobile_small,2023-11-02,French,SonicBridge,2317,19131,12,22,NoTR,Low,23245.88,27302.25,EUR,1.09,27871.81,32735.4
E0035,S01_StormOath_German_NoTR,1,P012,StormOath,mobile_small,2023-11-02,German,SonicBridge,2317,19131,12,22,NoTR,Low,22138.93,26390.79,EUR,1.09,26544.58,31642.56
E0036,S01_StormOath_Spanish_NoTR,1,P012,StormOath,mobile_small,2023-11-02,Spanish,GridMark,2317,19131,12,22,NoTR,Low,17921.99,19157.15,EUR,1.09,21488.47,22969.42
E0037,S02_StormOath_French_LipSync,2,P012,StormOath,mobile_small,2024-01-19,French,SonicBridge,400,1569,3,6,LipSync,Normal,12612.6,10278.33,EUR,1.12,15538.72,12662.9
E0038,S02_StormOath_German_LipSync,2,P012,StormOath,mobile_small,2024-01-19,German,SonicBridge,400,1569,3,6,LipSync,Normal,12012.0,8669.63,EUR,1.12,14798.78,10680.98
E0039,S02_StormOath_Spanish_LipSync,2,P012,StormOath,mobile_small,2024-01-19,Spanish,GridMark,400,1569,3,6,LipSync,Normal,9724.0,7484.68,EUR,1.12,11979.97,9221.13
E0040,S01_AncientPath_English_NoTR,1,P013,AncientPath,mobile_small,2023-03-22,English,GridMark,2260,12103,4,11,NoTR,Normal,22622.6,19084.03,EUR,1.09,27124.5,22881.75
E0041,S01_AncientPath_French_NoTR,1,P013,AncientPath,mobile_small,2023-03-22,French,GridMark,2260,12103,4,11,NoTR,Normal,21594.3,16820.38,EUR,1.09,25891.57,20167.64
E0042,S01_AncientPath_German_NoTR,1,P013,AncientPath,mobile_small,2023-03-22,German,SonicBridge,2260,12103,4,11,NoTR,Normal,21594.3,17802.25,EUR,1.09,25891.57,21344.9
E0043,S01_AncientPath_Spanish_NoTR,1,P013,AncientPath,mobile_small,2023-03-22,Spanish,SonicBridge,2260,12103,4,11,NoTR,Normal,18355.16,13967.39,EUR,1.09,22007.84,16746.9
E0044,S02_AncientPath_English_LipSync,2,P013,AncientPath,mobile_small,2023-05-24,English,GridMark,398,2119,2,3,LipSync,Low,12521.08,12695.11,EUR,1.09,15012.77,15221.44
E0045,S02_AncientPath_French_LipSync,2,P013,AncientPath,mobile_small,2023-05-24,French,GridMark,398,2119,2,3,LipSync,Low,11951.94,11034.85,EUR,1.09,14330.38,13230.79
E0046,S02_AncientPath_German_LipSync,2,P013,AncientPath,mobile_small,2023-05-24,German,SonicBridge,398,2119,2,3,LipSync,Low,11951.94,12713.93,EUR,1.09,14330.38,15244.0
E0047,S02_AncientPath_Spanish_LipSync,2,P013,AncientPath,mobile_small,2023-05-24,Spanish,SonicBridge,398,2119,2,3,LipSync,Low,10159.15,9785.87,EUR,1.09,12180.82,11733.26
E0048,S01_BurningEcho_English_NoTR,1,P014,BurningEcho,mobile_small,2026-03-24,English,LarkFarm,2972,28124,4,9,NoTR,Very Low,28262.23,34719.72,EUR,1.18,36684.37,45066.2
E0049,S01_BurningEcho_French_NoTR,1,P014,BurningEcho,mobile_small,2026-03-24,French,GridMark,2972,28124,4,9,NoTR,Very Low,28397.46,37823.29,EUR,1.18,36859.9,49094.63
E0050,S01_BurningEcho_German_NoTR,1,P014,BurningEcho,mobile_small,2026-03-24,German,GridMark,2972,28124,4,9,NoTR,Very Low,27045.2,35186.19,EUR,1.18,35104.67,45671.67
E0051,S01_BurningEcho_Spanish_NoTR,1,P014,BurningEcho,mobile_small,2026-03-24,Spanish,LarkFarm,2972,28124,4,9,NoTR,Very Low,21839.0,27022.46,EUR,1.18,28347.02,35075.15
E0052,S01_VoidWar_French_NoTR,1,P015,VoidWar,mobile_small,2025-09-06,French,LarkFarm,1083,9983,12,31,NoTR,Normal,9830.66,13514.65,EUR,1.21,13084.61,17988.0
E0053,S01_VoidWar_German_NoTR,1,P015,VoidWar,mobile_small,2025-09-06,German,SonicBridge,1083,9983,12,31,NoTR,Normal,10348.07,15947.9,EUR,1.21,13773.28,21226.65
E0054,S01_VoidWar_Spanish_NoTR,1,P015,VoidWar,mobile_small,2025-09-06,Spanish,SonicBridge,1083,9983,12,31,NoTR,Normal,8795.86,13178.57,EUR,1.21,11707.29,17540.68
E0055,S01_ScarletWatch_English_NoTR,1,P016,ScarletWatch,mobile_small,2024-12-19,English,GridMark,1623,13864,8,16,NoTR,Very Low,16246.23,19768.78,EUR,1.12,20015.36,24355.14
E0056,S01_ScarletWatch_French_NoTR,1,P016,ScarletWatch,mobile_small,2024-12-19,French,SonicBridge,1623,13864,8,16,NoTR,Very Low,16283.15,20453.45,EUR,1.12,20060.84,25198.65
E0057,S01_ScarletWatch_German_NoTR,1,P016,ScarletWatch,mobile_small,2024-12-19,German,LarkFarm,1623,13864,8,16,NoTR,Very Low,14030.83,16260.79,EUR,1.12,17285.98,20033.29
E0058,S01_ScarletWatch_Spanish_NoTR,1,P016,ScarletWatch,mobile_small,2024-12-19,Spanish,LarkFarm,1623,13864,8,16,NoTR,Very Low,11926.21,16459.3,EUR,1.12,14693.09,20277.86
E0059,S01_IronRift_French_NoTR,1,P017,IronRift,mobile_small,2024-04-22,French,GridMark,705,7294,5,12,NoTR,Low,6736.27,10845.62,EUR,1.12,8299.08,13361.8
E0060,S01_IronRift_German_NoTR,1,P017,IronRift,mobile_small,2024-04-22,German,GridMark,705,7294,5,12,NoTR,Low,6415.5,7843.14,EUR,1.12,7903.9,9662.75
E0061,S01_IronRift_Spanish_NoTR,1,P017,IronRift,mobile_small,2024-04-22,Spanish,GridMark,705,7294,5,12,NoTR,Low,5453.17,8278.52,EUR,1.12,6718.31,10199.14
E0062,S02_IronRift_French_LipSync,2,P017,IronRift,mobile_small,2024-06-10,French,GridMark,124,528,2,3,LipSync,High,3723.72,2704.98,EUR,1.12,4587.62,3332.54
E0063,S02_IronRift_German_LipSync,2,P017,IronRift,mobile_small,2024-06-10,German,GridMark,124,528,2,3,LipSync,High,3546.4,3042.41,EUR,1.12,4369.16,3748.25
E0064,S02_IronRift_Spanish_LipSync,2,P017,IronRift,mobile_small,2024-06-10,Spanish,GridMark,124,528,2,3,LipSync,High,3014.44,2522.42,EUR,1.12,3713.79,3107.62
E0065,S01_EmberDust_English_NoTR,1,P018,EmberDust,mobile_small,2021-10-20,English,SonicBridge,2736,23353,7,18,NoTR,Low,28756.73,34358.59,EUR,1.18,37326.24,44597.45
E0066,S01_EmberDust_French_NoTR,1,P018,EmberDust,mobile_small,2021-10-20,French,GridMark,2736,23353,7,18,NoTR,Low,26142.48,31193.85,EUR,1.18,33932.94,40489.62
E0067,S01_EmberDust_German_NoTR,1,P018,EmberDust,mobile_small,2021-10-20,German,GridMark,2736,23353,7,18,NoTR,Low,24897.6,34852.47,EUR,1.18,32317.08,45238.51
E0068,S01_EmberDust_Spanish_NoTR,1,P018,EmberDust,mobile_small,2021-10-20,Spanish,GridMark,2736,23353,7,18,NoTR,Low,21162.96,24672.62,EUR,1.18,27469.52,32025.06
E0069,S01_PhantomHunter_English_NoTR,1,P019,PhantomHunter,mobile_small,2025-12-01,English,GridMark,1023,9588,4,8,NoTR,Very Low,10240.23,13817.74,EUR,1.21,13629.75,18391.41
E0070,S01_PhantomHunter_French_NoTR,1,P019,PhantomHunter,mobile_small,2025-12-01,French,GridMark,1023,9588,4,8,NoTR,Very Low,9774.76,12544.55,EUR,1.21,13010.21,16696.8
E0071,S01_PhantomHunter_German_NoTR,1,P019,PhantomHunter,mobile_small,2025-12-01,German,GridMark,1023,9588,4,8,NoTR,Very Low,9309.3,12796.56,EUR,1.21,12390.68,17032.22
E0072,S01_PhantomHunter_Spanish_NoTR,1,P019,PhantomHunter,mobile_small,2025-12-01,Spanish,GridMark,1023,9588,4,8,NoTR,Very Low,7912.9,11038.83,EUR,1.21,10532.07,14692.68
E0073,S02_PhantomHunter_English_LipSync,2,P019,PhantomHunter,mobile_small,2026-01-24,English,GridMark,180,949,2,2,LipSync,Low,5662.8,4925.1,EUR,1.18,7350.31,6392.78
E0074,S02_PhantomHunter_French_LipSync,2,P019,PhantomHunter,mobile_small,2026-01-24,French,GridMark,180,949,2,2,LipSync,Low,5405.4,5148.43,EUR,1.18,7016.21,6682.66
E0075,S02_PhantomHunter_German_LipSync,2,P019,PhantomHunter,mobile_small,2026-01-24,German,GridMark,180,949,2,2,LipSync,Low,5148.0,4758.59,EUR,1.18,6682.1,6176.65
E0076,S02_PhantomHunter_Spanish_LipSync,2,P019,PhantomHunter,mobile_small,2026-01-24,Spanish,GridMark,180,949,2,2,LipSync,Low,4375.8,4146.34,EUR,1.18,5679.79,5381.95
E0077,S01_StormShard_French_NoTR,1,P020,StormShard,mobile_small,2026-10-09,French,GridMark,1201,10141,4,9,NoTR,Low,11475.56,,EUR,1.18,14895.28,
E0078,S01_StormShard_German_NoTR,1,P020,StormShard,mobile_small,2026-10-09,German,GridMark,1201,10141,4,9,NoTR,Low,10929.1,,EUR,1.18,14185.97,
E0079,S01_StormShard_Spanish_NoTR,1,P020,StormShard,mobile_small,2026-10-09,Spanish,GridMark,1201,10141,4,9,NoTR,Low,9289.73,,EUR,1.18,12058.07,
E0080,S01_BlazingHunter_English_NoTR,1,P021,BlazingHunter,indie,2022-07-14,English,SonicBridge,817,6855,20,37,NoTR,Normal,8587.08,11614.5,EUR,1.05,9918.08,13414.75
E0081,S01_BlazingHunter_French_NoTR,1,P021,BlazingHunter,indie,2022-07-14,French,SonicBridge,817,6855,20,37,NoTR,Normal,8196.76,11252.82,EUR,1.05,9467.26,12997.01
E0082,S01_BlazingHunter_German_NoTR,1,P021,BlazingHunter,indie,2022-07-14,German,SonicBridge,817,6855,20,37,NoTR,Normal,7806.43,10924.47,EUR,1.05,9016.43,12617.76
E0083,S01_BlazingHunter_Polish_NoTR,1,P021,BlazingHunter,indie,2022-07-14,Polish,SonicBridge,817,6855,20,37,NoTR,Normal,3903.22,5312.34,EUR,1.05,4508.22,6135.75
E0084,S01_BlazingHunter_Spanish_NoTR,1,P021,BlazingHunter,indie,2022-07-14,Spanish,SonicBridge,817,6855,20,37,NoTR,Normal,6635.47,8288.32,EUR,1.05,7663.97,9573.01
E0085,S02_BlazingHunter_English_STR,2,P021,BlazingHunter,indie,2022-09-24,English,SonicBridge,241,1435,15,28,STR,Low,4704.2,9135.7,EUR,1.05,5433.35,10551.73
E0086,S02_BlazingHunter_French_STR,2,P021,BlazingHunter,indie,2022-09-24,French,SonicBridge,241,1435,15,28,STR,Low,4490.37,8882.01,EUR,1.05,5186.38,10258.72
E0087,S02_BlazingHunter_German_STR,2,P021,BlazingHunter,indie,2022-09-24,German,SonicBridge,241,1435,15,28,STR,Low,4276.55,8085.0,EUR,1.05,4939.42,9338.18
E0088,S02_BlazingHunter_Polish_STR,2,P021,BlazingHunter,indie,2022-09-24,Polish,SonicBridge,241,1435,15,28,STR,Low,2138.27,4180.25,EUR,1.05,2469.7,4828.19
E0089,S02_BlazingHunter_Spanish_STR,2,P021,BlazingHunter,indie,2022-09-24,Spanish,SonicBridge,241,1435,15,28,STR,Low,3635.06,8095.35,EUR,1.05,4198.49,9350.13
E0090,S03_BlazingHunter_English_NoTR,3,P021,BlazingHunter,indie,2022-10-26,English,SonicBridge,1596,12589,20,37,NoTR,Normal,16774.76,24170.61,EUR,1.05,19374.85,27917.05
E0091,S03_BlazingHunter_French_NoTR,3,P021,BlazingHunter,indie,2022-10-26,French,SonicBridge,1596,12589,20,37,NoTR,Normal,16012.27,18905.2,EUR,1.05,18494.17,21835.51
E0092,S03_BlazingHunter_German_NoTR,3,P021,BlazingHunter,indie,2022-10-26,German,SonicBridge,1596,12589,20,37,NoTR,Normal,15249.78,15475.63,EUR,1.05,17613.5,17874.35
E0093,S03_BlazingHunter_Polish_NoTR,3,P021,BlazingHunter,indie,2022-10-26,Polish,SonicBridge,1596,12589,20,37,NoTR,Normal,7624.89,8883.82,EUR,1.05,8806.75,10260.81
E0094,S03_BlazingHunter_Spanish_NoTR,3,P021,BlazingHunter,indie,2022-10-26,Spanish,SonicBridge,1596,12589,20,37,NoTR,Normal,12962.31,15410.78,EUR,1.05,14971.47,17799.45
E0095,S04_BlazingHunter_English_LipSync,4,P021,BlazingHunter,indie,2022-12-23,English,SonicBridge,211,1000,6,11,LipSync,Very High,6969.96,7398.92,EUR,1.05,8050.3,8545.75
E0096,S04_BlazingHunter_French_LipSync,4,P021,BlazingHunter,indie,2022-12-23,French,SonicBridge,211,1000,6,11,LipSync,Very High,6653.15,6056.7,EUR,1.05,7684.39,6995.49
E0097,S04_BlazingHunter_German_LipSync,4,P021,BlazingHunter,indie,2022-12-23,German,SonicBridge,211,1000,6,11,LipSync,Very High,6336.33,6316.04,EUR,1.05,7318.46,7295.03
E0098,S04_BlazingHunter_Polish_LipSync,4,P021,BlazingHunter,indie,2022-12-23,Polish,SonicBridge,211,1000,6,11,LipSync,Very High,3168.16,3373.68,EUR,1.05,3659.22,3896.6
E0099,S04_BlazingHunter_Spanish_LipSync,4,P021,BlazingHunter,indie,2022-12-23,Spanish,SonicBridge,211,1000,6,11,LipSync,Very High,5385.88,5898.96,EUR,1.05,6220.69,6813.3
E0100,S01_ThornKeep_BrazilianPortuguese_NoTR,1,P022,ThornKeep,indie,2021-09-18,Brazilian Portuguese,LatinaVox,2924,19403,13,20,NoTR,Low,17295.46,19926.45,EUR,1.18,22449.51,25864.53
E0101,S01_ThornKeep_French_NoTR,1,P022,ThornKeep,indie,2021-09-18,French,SonicBridge,2924,19403,13,20,NoTR,Low,29335.76,25356.29,EUR,1.18,38077.82,32912.46
E0102,S01_ThornKeep_German_NoTR,1,P022,ThornKeep,indie,2021-09-18,German,GridMark,2924,19403,13,20,NoTR,Low,26608.4,28783.96,EUR,1.18,34537.7,37361.58
E0103,S01_ThornKeep_Polish_NoTR,1,P022,ThornKeep,indie,2021-09-18,Polish,SonicBridge,2924,19403,13,20,NoTR,Low,13969.41,12478.34,EUR,1.18,18132.29,16196.89
E0104,S01_ThornKeep_Spanish_NoTR,1,P022,ThornKeep,indie,2021-09-18,Spanish,GridMark,2924,19403,13,20,NoTR,Low,22617.14,22920.33,EUR,1.18,29357.05,29750.59
E0105,S02_ThornKeep_BrazilianPortuguese_STR,2,P022,ThornKeep,indie,2022-05-07,Brazilian Portuguese,LatinaVox,292,1829,9,15,STR,Very High,3207.62,3605.29,EUR,1.05,3704.8,4164.11
E0106,S02_ThornKeep_French_STR,2,P022,ThornKeep,indie,2022-05-07,French,SonicBridge,292,1829,9,15,STR,Very High,5440.62,5841.59,EUR,1.05,6283.92,6747.04
E0107,S02_ThornKeep_German_STR,2,P022,ThornKeep,indie,2022-05-07,German,GridMark,292,1829,9,15,STR,Very High,4934.8,5560.42,EUR,1.05,5699.69,6422.29
E0108,S02_ThornKeep_Polish_STR,2,P022,ThornKeep,indie,2022-05-07,Polish,SonicBridge,292,1829,9,15,STR,Very High,2590.77,2660.09,EUR,1.05,2992.34,3072.4
E0109,S02_ThornKeep_Spanish_STR,2,P022,ThornKeep,indie,2022-05-07,Spanish,GridMark,292,1829,9,15,STR,Very High,4194.58,4141.79,EUR,1.05,4844.74,4783.77
E0110,S03_ThornKeep_BrazilianPortuguese_LipSync,3,P022,ThornKeep,indie,2022-06-03,Brazilian Portuguese,LatinaVox,255,1244,3,6,LipSync,Low,4740.45,4179.72,EUR,1.05,5475.22,4827.58
E0111,S03_ThornKeep_French_LipSync,3,P022,ThornKeep,indie,2022-06-03,French,SonicBridge,255,1244,3,6,LipSync,Low,8040.53,8234.79,EUR,1.05,9286.81,9511.18
E0112,S03_ThornKeep_German_LipSync,3,P022,ThornKeep,indie,2022-06-03,German,GridMark,255,1244,3,6,LipSync,Low,7293.0,6130.27,EUR,1.05,8423.42,7080.46
E0113,S03_ThornKeep_Polish_LipSync,3,P022,ThornKeep,indie,2022-06-03,Polish,SonicBridge,255,1244,3,6,LipSync,Low,3828.83,3696.98,EUR,1.05,4422.3,4270.01
E0114,S03_ThornKeep_Spanish_LipSync,3,P022,ThornKeep,indie,2022-06-03,Spanish,GridMark,255,1244,3,6,LipSync,Low,6199.05,5267.81,EUR,1.05,7159.9,6084.32
E0115,S01_BlazingForge_BrazilianPortuguese_NoTR,1,P023,BlazingForge,indie,2023-08-23,Brazilian Portuguese,SoundHouse,4472,27519,10,15,NoTR,Very Low,25658.32,22891.59,EUR,1.09,30764.33,27447.02
E0116,S01_BlazingForge_French_NoTR,1,P023,BlazingForge,indie,2023-08-23,French,GridMark,4472,27519,10,15,NoTR,Very Low,42729.96,41704.23,EUR,1.09,51233.22,50003.37
E0117,S01_BlazingForge_German_NoTR,1,P023,BlazingForge,indie,2023-08-23,German,SonicBridge,4472,27519,10,15,NoTR,Very Low,42729.96,38253.23,EUR,1.09,51233.22,45865.62
E0118,S01_BlazingForge_Spanish_NoTR,1,P023,BlazingForge,indie,2023-08-23,Spanish,SonicBridge,4472,27519,10,15,NoTR,Very Low,36320.47,28075.95,EUR,1.09,43548.24,33663.06
E0119,S02_BlazingForge_BrazilianPortuguese_STR,2,P023,BlazingForge,indie,2023-12-29,Brazilian Portuguese,SoundHouse,447,3280,7,11,STR,High,4762.99,6166.79,EUR,1.09,5710.83,7393.98
E0120,S02_BlazingForge_French_STR,2,P023,BlazingForge,indie,2023-12-29,French,GridMark,447,3280,7,11,STR,High,7932.02,8921.81,EUR,1.09,9510.49,10697.25
E0121,S02_BlazingForge_German_STR,2,P023,BlazingForge,indie,2023-12-29,German,SonicBridge,447,3280,7,11,STR,High,7932.02,10485.58,EUR,1.09,9510.49,12572.21
E0122,S02_BlazingForge_Spanish_STR,2,P023,BlazingForge,indie,2023-12-29,Spanish,SonicBridge,447,3280,7,11,STR,High,6742.21,7533.05,EUR,1.09,8083.91,9032.13
E0123,S03_BlazingForge_BrazilianPortuguese_LipSync,3,P023,BlazingForge,indie,2024-07-01,Brazilian Portuguese,SoundHouse,391,1852,3,4,LipSync,Normal,7050.63,6495.13,EUR,1.12,8686.38,8002.0
E0124,S03_BlazingForge_French_LipSync,3,P023,BlazingForge,indie,2024-07-01,French,GridMark,391,1852,3,4,LipSync,Normal,11741.73,10915.91,EUR,1.12,14465.81,13448.4
E0125,S03_BlazingForge_German_LipSync,3,P023,BlazingForge,indie,2024-07-01,German,SonicBridge,391,1852,3,4,LipSync,Normal,11741.73,10832.43,EUR,1.12,14465.81,13345.55
E0126,S03_BlazingForge_Spanish_LipSync,3,P023,BlazingForge,indie,2024-07-01,Spanish,SonicBridge,391,1852,3,4,LipSync,Normal,9980.47,8547.03,EUR,1.12,12295.94,10529.94
E0127,S01_ThornRealm_BrazilianPortuguese_NoTR,1,P024,ThornRealm,indie,2025-06-03,Brazilian Portuguese,SoundHouse,2570,21689,12,22,NoTR,Low,14745.5,16484.59,EUR,1.21,19626.26,21940.99
E0128,S01_ThornRealm_French_NoTR,1,P024,ThornRealm,indie,2025-06-03,French,SonicBridge,2570,21689,12,22,NoTR,Low,25784.17,36811.65,EUR,1.21,34318.73,48996.31
E0129,S01_ThornRealm_German_NoTR,1,P024,ThornRealm,indie,2025-06-03,German,LarkFarm,2570,21689,12,22,NoTR,Low,22217.65,25804.03,EUR,1.21,29571.69,34345.16
E0130,S01_ThornRealm_Polish_NoTR,1,P024,ThornRealm,indie,2025-06-03,Polish,GridMark,2570,21689,12,22,NoTR,Low,11693.5,15155.28,EUR,1.21,15564.05,20171.68
E0131,S01_ThornRealm_Spanish_NoTR,1,P024,ThornRealm,indie,2025-06-03,Spanish,GridMark,2570,21689,12,22,NoTR,Low,19878.95,25390.11,EUR,1.21,26458.88,33794.24
E0132,S02_ThornRealm_BrazilianPortuguese_NoTR,2,P024,ThornRealm,indie,2025-10-27,Brazilian Portuguese,SoundHouse,508,3321,12,22,NoTR,Normal,2914.68,4249.53,EUR,1.21,3879.44,5656.12
E0133,S02_ThornRealm_French_NoTR,2,P024,ThornRealm,indie,2025-10-27,French,SonicBridge,508,3321,12,22,NoTR,Normal,5096.64,7547.74,EUR,1.21,6783.63,10046.04
E0134,S02_ThornRealm_German_NoTR,2,P024,ThornRealm,indie,2025-10-27,German,LarkFarm,508,3321,12,22,NoTR,Normal,4391.66,6313.27,EUR,1.21,5845.3,8402.96
E0135,S02_ThornRealm_Polish_NoTR,2,P024,ThornRealm,indie,2025-10-27,Polish,GridMark,508,3321,12,22,NoTR,Normal,2311.4,3224.75,EUR,1.21,3076.47,4292.14
